treat,plots,phi,Rlight,LCP,Rd,Cistar,Cit,Acit,CCP,Vcmax,Jmax,JV,ACE,VNarea,JNarea,g1,Jc,Jo,PHII,qP,JcJo,gm,Ccstar,Rl,R,biomass,leafarea,rootshoot,hight,RCD,SLA,Narea,Nmass,RMR,SMR,LMR
elevated,1,0.0368,1.13,30.70652174,0.692377104,46.46375631,476.3,20.4,71.1,54.2,134.8,2.55489022,0.0645,5.061447816,12.58825029,12.9,60.76300561,6.386994389,0.183,0.473,9.513552371,0.109,52.81583983,0.798374299,1.490751403,8.509,702.8502,0.556714233,39.5,7.13,261.4770089,10.70839846,28,0.357621342,0.31002468,0.332353978
elevated,1,0.0381,1.39,36.48293963,0.875857079,46.90099027,487.9,20.9,75.1,51.6,135.9,2.659090909,0.0639,6.046339554,15.92437103,8,66.60228554,10.19771446,0.206,0.519,6.531099277,0.134,53.43723713,1.274714307,2.150571386,7.945,757.106,0.540923196,46.05,5.81,282.3968668,8.53408902,24.1,0.351038389,0.291504091,0.35745752
elevated,1,0.0363,1.34,36.91460055,0.997443989,43.96786585,458.7,19.5,75.8,54.1,131.4,2.545638945,0.0655,4.87847827,11.84902116,11.7,59.55449044,6.555509556,0.1832,0.4672,9.084647033,0.115,52.64129184,1.446685337,2.444129326,7.37,519.7969,0.826517968,41.45,8.31,266.0168373,11.08952362,29.5,0.452510176,0.264179104,0.283310719
elevated,2,0.0399,1.27,31.82957393,0.633107055,46.85300166,541,18.1,82.9,43.4,110.7,2.685863874,0.054,4.3256729,11.03345599,9.2,52.03828548,2.611714519,0.161,0.427,8.9,0.134,51.57768117,1.326464315,1.95957137,7.014,613.2648,0.604300091,39.55,5.83,252.1648026,10.03312109,25.3,0.376675221,0.260479042,0.362845737
elevated,2,0.0402,0.91,22.63681592,0.625277538,49.01689511,592.5,20,73.7,48.9,125.9,2.707762557,0.0543,6.462628677,16.63895604,6.27,54.03407344,8.665926564,0.161,0.415,6.235233248,0.122,54.14212083,1.083240821,1.708518359,8.368,841.4065,0.468327777,42.4,6.69,281.5010037,7.56658048,21.3,0.318953155,0.30915392,0.371892925
elevated,2,0.0371,1.14,30.7277628,0.719300806,41.95130455,488.1,15.9,76,42,97.2,2.400516796,0.0499,3.579322875,8.283575795,9.9,64.33480215,4.915197849,0.205,0.502,13.08895473,0.119,47.99584915,0.814399731,1.533700538,9.901,576.1048,0.694506247,38.8,7.31,205.3849554,11.73406297,24.1,0.40985759,0.288152712,0.301989698
ambient,1,0.0404,1.5,37.12871287,1.359842195,37.68366946,511.7,30,51.9,71.3,259.8,3.703939009,0.0919,4.904510923,17.87085467,11.3,103.6262459,27.97375415,0.39,0.682,3.704409689,0.222,43.80908476,3.496719268,4.856561463,4.29,431.1808,0.666666667,27.65,6.25,270.33279,14.53763711,39.3,0.4,0.202331002,0.397668998
ambient,1,0.0395,1.65,41.7721519,1.749266709,28.02785654,424.7,26.7,62.6,77.4,243.7,3.178799489,0.0944,5.232238726,16.47411599,9.4,88.56471123,19.93528877,0.303,0.633,4.442609899,0.254,34.91473335,2.491911097,4.241177806,4.615,589.8251,0.706201044,19.4,6.36,251.2385598,14.79290301,29.5,0.396078007,0.216468039,0.447453954
ambient,1,0.0425,1.17,51,1.786129083,42.83785421,525,29.8,64,71,287.7,4.145429363,0.0934,6.735050359,27.29118293,10.5,110.7630109,25.63698911,0.415,0.665,4.320437569,0.268,49.50251497,3.204623639,4.990752722,6.04,479.0952333,1.288843813,18,5.05,226.5963983,10.54186624,37.1,0.538207009,0.133930997,0.267861994
ambient,2,0.04,2.24,32.52941176,1.718165998,35.49035809,437.3,29.5,65.8,84.1,296.5,3.525738499,0.1052,6.207232816,21.88400155,8.5,105.8484427,25.95155734,0.381,0.686,4.078693287,0.255,42.22826397,3.243944667,4.962110665,5.941,514.8025,0.858886108,17.7,6.59,241.351383,13.54871043,32.7,0.462043427,0.160074062,0.377882511
ambient,2,0.0396,2.02,51.01010101,0.971745573,40.89193649,478,28.4,59.3,74.3,253.8,3.380108992,0.0957,5.813943398,19.85974205,9.3,107.7746549,31.77534514,0.407,0.71,3.391769764,0.257,44.67304767,3.971918142,4.943663716,3.681,504.0775,0.984231275,21.5,8.65,256.6586049,12.77962218,32.8,0.49602649,0.161754967,0.342218543
ambient,2,0.043,1.45,33.72093023,1.578318053,46.68637613,422.1,26.2,61.9,76.7,230.4,2.917582418,0.0904,5.110486458,15.35144824,10.6,94.12551481,14.02448519,0.318,0.594,6.71151301,0.243,51.18151215,2.753060649,4.331378702,7.227,467.9785,0.79686723,16.25,7.35,263.7104224,15.00835598,27.8,0.443475854,0.185277432,0.371246714
